modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10
sphericity_High,0.030726823017674872,0.4755926144830405,0.12144218529365092,4.336057406073968e-38,0.022665423224476074,0.3371433284399203,0.012429625541237202,7.247628904303126e-32,1.8319623127671597e-32,1.1425589841141294e-33
sphericity_Low,0.03072682301767497,0.4755926144830399,0.12144218529365111,1.4166935513418562e-32,0.022665423224476122,0.3371433284399207,0.012429625541237195,3.06212321206808e-32,7.740040771441273e-33,4.827311707882209e-34
angularity_Angular,0.045312237283093866,0.0275307774587227,0.019836130057072965,0.8534482758620692,0.0004457432511038123,0.04704230394135126,0.006384532146586164,1.7239348846727497e-33,3.0300772870512762e-33,7.256271927775679e-34
angularity_Rounded,0.018244183826592614,0.5478338629021731,0.000808503959295079,2.603896753954936e-31,0.10862869071007857,0.32414577448819626,0.0003389841136644159,6.249263956938705e-33,1.0984030165560862e-32,2.630398573818684e-33
angularity_Sub-rounded,0.015455095219952062,0.1363004597441577,0.43293531311743766,0.18509615384615416,0.07142860725186224,0.14243973242811594,0.016344638392320275,3.3649882845054634e-33,5.914477781455864e-33,1.4163684628254483e-33
angularity_Subangular,0.5227816951585179,0.0010343513210984002,0.13366757959791575,0.12276785714285735,0.06104402267210081,0.026233942049350784,0.13247055205815902,2.2318799846209628e-33,3.922867916271728e-33,9.394280620780988e-34
angularity_Well-rounded,0.3084934720016468,0.11766268223648697,0.2616007034300525,1.5635594170053775e-30,0.22495326317860245,0.001465140821001065,0.08582473833221022,2.7774506475283168e-33,4.88179118469372e-33,1.1690660328083061e-33
raw material_Basalt,0.0012939737127903232,0.25035364024978735,0.3252645972896759,2.7082922287288593e-31,0.4212578297462653,0.0017951008917924784,3.485810968859583e-05,8.339622792272962e-33,2.5644363660846902e-33,9.96337941272854e-33
raw material_Phonolite,0.6458379549625108,0.02674736465492136,0.07193116888207006,2.5542031391457923e-31,0.08233652193887032,0.007755520191714842,0.16539146936991247,4.105660451580548e-33,1.2624917494570836e-33,4.9050483262663695e-33
raw material_Trachyte,0.46158631540630835,0.13143165084303504,0.11585191799818233,4.405517691456138e-31,0.16292207102978487,0.0012545074900226264,0.1269535372326667,7.331536520679537e-33,2.2544495526019302e-33,8.759014868332794e-33
