modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12
sphericity_High,0.39614729281121003,0.0017959807816717323,0.30336015913448966,0.05397713228899429,1.4164521350856104e-38,0.028011813679276933,0.18999553006848227,0.026712091235874976,1.967168024069813e-32,1.8440361687380753e-34,1.8866527421088106e-32,3.503261972276772e-35
sphericity_Low,0.1607128350983145,0.01988220615374809,0.5092669684122448,0.019485991008028,4.6545563124827775e-31,0.0071391875816415006,0.2721601263465685,0.011352685399454446,1.0629817575847144e-32,9.964460502157198e-35,1.0194744034166281e-32,1.8930277042965432e-35
sphericity_S.Def,0.9414264939803232,0.027142289255994916,0.006261465847560266,0.01153252145626129,5.319659762039415e-31,0.008348891795065485,0.0006281797327972251,0.00466015793199776,8.69307561770803e-33,1.0334411852163983e-32,5.59464622019383e-35,2.6709901611226477e-34
angularity_Angular,0.03534058199255701,0.048120040293822545,0.05397012899678505,0.0031212603336347833,0.8094059405940588,0.003506071735863262,0.04317028344013401,0.003365692613144516,6.430030955479443e-33,7.038728994221829e-33,2.525196831511924e-36,3.874434706518598e-38
angularity_Rounded,0.19003803973107908,0.002983989600705732,0.4254683266428313,0.015154173308391548,1.0081736806942586e-30,0.08758129042202355,0.27828729080910536,0.0004868894858633594,2.0528058596372732e-32,2.247134457638075e-32,8.061763447729335e-36,1.236924413489106e-37
angularity_S.Def,0.9414264939803232,0.02714228925599496,0.006261465847560244,0.011532521456261303,4.104574506515342e-31,0.00834889179506548,0.0006281797327972237,0.004660157931997755,1.4275890316406393e-34,1.551569640625058e-32,2.0360903757174877e-32,1.1306038398602076e-34
angularity_Sub-rounded,0.10603379101113397,0.0033082810905265643,0.20090665566838584,0.30579075745243556,0.16732456140350893,0.06788431867155041,0.11740925854819544,0.03134237615426323,1.19632418040105e-32,1.3095740523460163e-32,4.698195157576176e-36,7.208487730285826e-38
angularity_Subangular,0.01744449278736468,0.4371785548092417,0.012123600280889811,0.23963724105722473,0.11468855218855256,0.020025280712740574,0.02754493472393521,0.13135734344005062,8.199913213427094e-33,8.976156924449567e-33,3.2202636361453204e-36,4.940882643413818e-38
angularity_Well-rounded,0.10858668092371754,0.29578108354783544,0.03450732876303758,0.2618665412074486,1.7867461932509087e-30,0.18848535992306684,0.0030377999038223983,0.10773520573107165,1.0042780306754012e-32,1.0993478789944438e-32,3.943992989423266e-36,6.051307814820108e-38
raw material_Basalt,0.09028813706164648,0.0300039973859827,0.10451747972605722,0.2988573901675226,2.011296051157679e-30,0.4685541028889673,0.004610570062701979,0.0031683227071217087,5.514370621874291e-32,1.4967170160658887e-32,1.7216773485005993e-33,6.1778609225723385e-40
raw material_Phonolite,0.20228945543185708,0.33965756267490826,0.027569680507186674,0.08855793949538444,4.0867130990134945e-30,0.09073130938065138,0.018596006186798505,0.2325980463232137,5.514370621874302e-32,1.496717016065889e-32,1.721677348500598e-33,6.177860922571184e-40
raw material_Trachyte,0.02198518941491455,0.563839534895132,0.024393540089626835,0.06120818024196879,5.63345597674355e-31,0.1449287624825507,0.004624246694599795,0.17902054618120722,5.746263522254037e-32,1.5596576621890333e-32,1.79407813206023e-33,6.437655228344179e-40
