category,sphericity,angularity,raw material
Hammerstone,Low,Sub-rounded,Trachyte
Unmodified,Low,Rounded,Basalt
Unmodified,High,Rounded,Basalt
Unmodified,High,Rounded,Phonolite
Core,,,Phonolite
Core,Low,Rounded,Basalt
Core,High,Sub-rounded,Basalt
Unmodified,High,Rounded,Basalt
Hammerstone,High,Rounded,Basalt
Unmodified,High,Sub-rounded,Basalt
Hammerstone,High,Sub-rounded,Basalt
Unmodified,High,Rounded,Trachyte
Unmodified,Low,Subangular,Basalt
Core,,,Basalt
Hammerstone,High,Well-rounded,Trachyte
Core,,,Trachyte
Unmodified,High,Well-rounded,Trachyte
Hammerstone,High,Well-rounded,Trachyte
Core,,,Phonolite
Core,,,Phonolite
Core,,,Phonolite
Core,,,Phonolite
Hammerstone,High,Rounded,Basalt
Core,,,Basalt
Unmodified,High,Rounded,Phonolite
Unmodified,Low,Sub-rounded,Trachyte
Core,Low,Sub-rounded,Trachyte
Core,,,Trachyte
Hammerstone,,,Basalt
Hammerstone,,,Phonolite
Core,,,Trachyte
Hammerstone,Low,Well-rounded,Trachyte
Core,,,Phonolite
Core,,,Trachyte
Core,,,Trachyte
Core,,,Trachyte
Hammerstone,Low,Subangular,Phonolite
Unmodified,High,Rounded,Basalt
Unmodified,High,Angular,Trachyte
Hammerstone,Low,Subangular,Phonolite
Hammerstone,High,Rounded,Trachyte
Hammerstone,,,Trachyte
Unmodified,High,Rounded,Trachyte
Hammerstone,Low,Sub-rounded,Basalt
Unmodified,High,Rounded,Basalt
Unmodified,High,Subangular,Phonolite
Unmodified,Low,Rounded,Trachyte
Core,High,Subangular,Phonolite
Core,,,Basalt
Hammerstone,High,Rounded,Trachyte
Unmodified,Low,Angular,Phonolite
Unmodified,Low,Sub-rounded,Basalt
Hammerstone,,,Phonolite
Hammerstone,High,Rounded,Basalt
Hammerstone,High,Rounded,Basalt
Hammerstone,High,Angular,Basalt
Hammerstone,High,Sub-rounded,Trachyte
Hammerstone,Low,Rounded,Trachyte
Hammerstone,High,Rounded,Trachyte
Core,,,Basalt
Hammerstone,Low,Well-rounded,Basalt
Core,,,Trachyte
Unmodified,Low,Sub-rounded,Phonolite
Core,High,Well-rounded,Basalt
Unmodified,Low,Subangular,Basalt
Unmodified,Low,Well-rounded,Basalt
Unmodified,High,Well-rounded,Trachyte
Unmodified,Low,Well-rounded,Trachyte
Unmodified,Low,Angular,Phonolite
Hammerstone,High,Angular,Trachyte
Core,High,Well-rounded,Trachyte
Unmodified,High,Subangular,Phonolite
Core,Low,Rounded,Phonolite
Core,,,Phonolite
Core,,,Trachyte
Core,,,Trachyte
Hammerstone,High,Subangular,Phonolite
Hammerstone,Low,Angular,Phonolite
Unmodified,High,Angular,Basalt
Core,,,Phonolite
Core,,,Phonolite
Hammerstone,High,Subangular,Basalt
Core,,,Basalt
Unmodified,High,Rounded,Basalt
Hammerstone,Low,Well-rounded,Trachyte
Core,,,Phonolite
Core,,,Phonolite
Core,,,Phonolite
Unmodified,High,Subangular,Phonolite
Hammerstone,High,Sub-rounded,Trachyte
Core,Low,Sub-rounded,Phonolite
Core,High,Well-rounded,Trachyte
Core,,,Phonolite
Core,,,Trachyte
Core,,,Basalt
Hammerstone,High,Rounded,Phonolite
Core,,,Phonolite
Core,,,Phonolite
Core,,,Phonolite
Core,,,Basalt
Hammerstone,Low,Sub-rounded,Trachyte
Hammerstone,High,Sub-rounded,Basalt
Core,,,Trachyte
Core,Low,Angular,Basalt
Hammerstone,,,Phonolite
Core,,,Basalt
Hammerstone,,,Phonolite
Core,,,Trachyte
Core,,,Basalt
