modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10
sphericity_High,0.6483581508077915,0.08989181502980662,0.00011691091750720067,1.913774765120885e-41,8.291601161457077e-06,0.010743470632659121,0.25088136101107417,2.10185337094169e-31,9.499924126914483e-33,9.184370559250145e-33
sphericity_Low,0.6483581508077915,0.08989181502980668,0.0001169109175072012,8.638968858443204e-32,8.29160116145671e-06,0.010743470632659083,0.2508813610110742,3.6900663243594796e-31,1.6678304295314155e-32,1.612431056308345e-32
angularity_Angular,0.06480225832292343,0.12224775871078565,0.0893335789489923,0.5405180788329408,0.09036187408271605,0.08554397349002353,0.007192477611618225,1.4252458095344809e-33,3.4098935300891745e-33,9.037840657276126e-35
angularity_Rounded,0.21440780293913753,0.2942852423183395,0.1668149532449689,0.10622051958095388,0.08151743547499114,0.013694337680647,0.12305970876096207,2.5094506575017855e-32,6.003848251192735e-32,1.5913055157275423e-33
angularity_Sub-rounded,0.6134649929812127,1.6798624116910185e-05,0.011284907440265784,0.08769771804472307,0.0009327394445977982,0.09879246837289377,0.18781037509219004,4.8318975863028947e-32,1.1560291009007974e-31,3.0640272832337717e-33
angularity_Subangular,0.0039557357774001245,0.47619344354570675,0.0005046893416490945,0.3445160513101738,0.0025821241251559185,0.1655953505738739,0.006652605326040257,6.177957931368595e-33,1.478073370811562e-32,3.917597862596171e-34
angularity_Well-rounded,0.15795005280432461,0.0018680233344451533,0.35520209120672946,0.04779465845388714,0.3678267048137993,0.021137466004754232,0.0482210033820601,5.933676431531308e-33,1.419629143139166e-32,3.762692845070056e-34
raw material_Basalt,0.2131302217854661,0.31692468025622034,0.08044593998234716,2.778353651366607e-30,0.08055760857216374,0.3088755944408293,6.595496297339125e-05,2.2454131264961553e-32,1.320382058027006e-32,3.697721682132318e-32
raw material_Phonolite,0.26213049601298893,0.2713499922432888,0.07109807573060498,9.903910634710297e-31,0.059990407802819314,0.3341312752788258,0.001299752931472323,2.641913292504026e-32,1.5535381302988612e-32,4.350673801951893e-32
raw material_Trachyte,0.005552173587809791,0.0020190183619422613,0.5146314391261284,5.363713958058694e-31,0.4748892247804388,0.001552138582678043,0.001356005561002822,7.168355482934596e-33,4.2152456728512737e-33,1.1804769100927734e-32
