modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12
sphericity_High,0.31385034684317475,0.3115357525099313,0.1027346803794923,0.0033948391748367455,2.8012661355412625e-42,0.000283491557920599,0.06933935925851982,0.1988615302761245,6.261360029378565e-32,1.8796040632751614e-32,2.4296087448826863e-32,1.8170305654639276e-38
sphericity_Low,0.17988267504609476,0.5028881816235584,0.05331263636553196,8.215927438079091e-05,1.7249431937851907e-31,0.0016233528383229664,0.113835216759271,0.1483757780928401,5.499178769257832e-32,1.6508040922220214e-32,2.133857942167903e-32,1.5958475254271836e-38
sphericity_S.Def,0.9555555765588362,0.018448224503961563,0.009008813744075495,0.004529285144725866,3.2555116385978153e-31,0.0031796437432816595,0.004470276356437161,0.004808179948682106,4.3357167864255845e-34,2.8156451668906667e-32,1.0552510465508094e-33,1.1080499588794542e-33
angularity_Angular,0.02656621887098741,0.10345720754938001,0.0757707105542767,0.00012861248336940435,0.6592677484785433,0.0050552215277234755,0.1234353157050019,0.006318964830717796,4.438379545830683e-33,1.8649866171530658e-33,3.7525521727128235e-34,1.5866925019033508e-39
angularity_Rounded,0.13607373933952516,0.0034560361892005077,0.028273071886642066,0.5263951051569037,0.050602239880982204,0.23717306603974778,0.006743558104600734,0.011283183402397964,5.030163485274755e-32,2.113651499440144e-32,4.252892462407863e-33,1.7982515021565818e-38
angularity_S.Def,0.9555555765588362,0.018448224503961528,0.009008813744075469,0.004529285144725841,3.1671164194874774e-31,0.003179643743281671,0.004470276356437174,0.004808179948682102,8.605842418868594e-34,2.612872530269495e-32,1.252104301049157e-33,1.1289283653089797e-33
angularity_Sub-rounded,0.09055658989489901,0.28863358142830275,0.13077384717659002,0.045199374895639494,0.15803790043170818,0.08428164837708621,0.20213623151224983,0.0003808262835245897,4.6251373345123815e-32,1.9434613787060001e-32,3.910451770629564e-33,1.653457225359457e-38
angularity_Subangular,0.07461410992742167,0.03959162676933914,0.5180375885114374,0.06435569468332877,0.11317186006912618,7.443439425452222e-05,0.0005963727712052927,0.18955831287388702,1.923887229427799e-32,8.084085416185408e-33,1.6266042884109735e-33,6.877774669602989e-39
angularity_Well-rounded,0.07057404093738985,0.22398922246982614,0.08524928127619945,0.1389154943260628,0.10148656201276797,0.18020869261293668,0.1610722369958829,0.03850446936893428,1.8478151578560358e-32,7.76443407957604e-33,1.56228702700697e-33,6.605821844658192e-39
raw material_Basalt,0.10047965179157724,0.19543920710865345,0.3011166068270478,0.017476008410303088,1.6714982352410956e-30,0.04227660253177155,0.1758271483185468,0.1673847750121001,1.484298809857042e-31,3.705625564824189e-33,1.8715181265793475e-32,1.3630916120951604e-37
raw material_Phonolite,0.16284689448368703,0.15825833300118863,0.11455108628744483,0.12370567902627534,1.3525238513603787e-29,0.11585984786828078,0.1429205971024578,0.18185756223066554,1.7463996756482542e-31,4.3599733702583216e-33,2.2019950615892445e-32,1.6037894347370558e-37
raw material_Trachyte,0.014267347943348952,0.002505585603682559,0.07081246507519452,0.40070209749754904,4.016314980639425e-29,0.5086342394225113,0.0021653706104411306,0.0009128938472724767,4.7385407105707625e-32,1.1830001803169508e-33,5.974716663837715e-33,4.351593529049537e-38
