category,sphericity,angularity,raw material
Core,Low,Sub-rounded,Phonolite
Core,,,Phonolite
Core,,,Basalt
Core,,,Phonolite
Unmodified,Low,Rounded,Basalt
Core,,,Basalt
Unmodified,High,Rounded,Basalt
Unmodified,High,Rounded,Basalt
Hammerstone,High,Rounded,Basalt
Core,,,Phonolite
Core,High,Rounded,Basalt
Core,,,Basalt
Unmodified,,,Trachyte
Core,,,Basalt
Unmodified,High,Well-rounded,Basalt
Unmodified,High,Rounded,Phonolite
Core,,,Phonolite
Hammerstone,High,Sub-rounded,Basalt
Unmodified,Low,Sub-rounded,Basalt
Unmodified,High,Well-rounded,Phonolite
Hammerstone,High,Rounded,Phonolite
Unmodified,High,Sub-rounded,Trachyte
Core,,,Phonolite
Hammerstone,,,Phonolite
Unmodified,High,Well-rounded,Phonolite
Hammerstone,,,Phonolite
Core,,,Basalt
Hammerstone,Low,Rounded,Phonolite
Unmodified,High,Rounded,Basalt
Hammerstone,High,Rounded,Trachyte
Core,,,Trachyte
Hammerstone,Low,Sub-rounded,Trachyte
Core,,,Phonolite
Unmodified,High,Well-rounded,Phonolite
Core,Low,Sub-rounded,Phonolite
Hammerstone,,,Phonolite
Hammerstone,Low,Rounded,Basalt
Unmodified,High,Sub-rounded,Trachyte
Unmodified,High,Angular,Trachyte
Hammerstone,Low,Rounded,Trachyte
Core,,,Phonolite
Core,,,Phonolite
Hammerstone,Low,Subangular,Trachyte
Unmodified,Low,Well-rounded,Trachyte
Unmodified,High,Rounded,Basalt
Hammerstone,High,Sub-rounded,Trachyte
Unmodified,High,Well-rounded,Trachyte
Unmodified,Low,Rounded,Phonolite
Hammerstone,High,Rounded,Basalt
Core,,,Phonolite
Unmodified,High,Angular,Basalt
Core,,,Trachyte
Core,,,Basalt
Core,Low,Sub-rounded,Phonolite
Unmodified,Low,Rounded,Phonolite
Unmodified,Low,Subangular,Phonolite
Unmodified,Low,Rounded,Phonolite
Unmodified,Low,Well-rounded,Basalt
Unmodified,Low,Sub-rounded,Phonolite
Hammerstone,Low,Rounded,Trachyte
Hammerstone,High,Rounded,Basalt
Hammerstone,,,Basalt
Core,,,Phonolite
Core,,,Trachyte
Core,,,Phonolite
Unmodified,High,Well-rounded,Trachyte
Unmodified,High,Rounded,Basalt
Core,Low,Sub-rounded,Phonolite
Unmodified,Low,Subangular,Basalt
Hammerstone,High,Well-rounded,Phonolite
Unmodified,Low,Sub-rounded,Phonolite
Hammerstone,Low,Sub-rounded,Phonolite
Hammerstone,,,Phonolite
Core,Low,Sub-rounded,Phonolite
Hammerstone,,,Phonolite
Unmodified,Low,Sub-rounded,Phonolite
Hammerstone,Low,Sub-rounded,Trachyte
Unmodified,High,Subangular,Basalt
Unmodified,Low,Rounded,Basalt
Hammerstone,High,Well-rounded,Basalt
Hammerstone,Low,Rounded,Basalt
Core,,,Phonolite
Hammerstone,Low,Sub-rounded,Phonolite
Core,,,Phonolite
Hammerstone,High,Rounded,Basalt
Hammerstone,High,Rounded,Trachyte
Core,,,Phonolite
Core,,,Phonolite
Unmodified,High,Rounded,Basalt
Hammerstone,High,Sub-rounded,Basalt
Unmodified,Low,Sub-rounded,Phonolite
Core,,,Basalt
Unmodified,Low,Subangular,Basalt
Unmodified,Low,Subangular,Basalt
Unmodified,Low,Angular,Basalt
Unmodified,High,Well-rounded,Phonolite
Core,,,Phonolite
Unmodified,,,Basalt
Hammerstone,High,Well-rounded,Basalt
Unmodified,Low,Subangular,Phonolite
Core,,,Phonolite
Core,Low,Rounded,Phonolite
Hammerstone,High,Sub-rounded,Trachyte
Core,High,Rounded,Basalt
Unmodified,High,Sub-rounded,Basalt
Core,,,Phonolite
Unmodified,High,Rounded,Basalt
Unmodified,High,Sub-rounded,Basalt
Hammerstone,,,Trachyte
Unmodified,High,Rounded,Trachyte
Unmodified,Low,Well-rounded,Basalt
Core,,,Phonolite
Core,,,Phonolite
Unmodified,High,Rounded,Phonolite
Hammerstone,High,Well-rounded,Basalt
Unmodified,High,Subangular,Phonolite
Hammerstone,High,Well-rounded,Trachyte
Core,Low,Sub-rounded,Phonolite
Hammerstone,High,Subangular,Trachyte
Unmodified,High,Sub-rounded,Trachyte
Unmodified,Low,Well-rounded,Basalt
Hammerstone,,,Phonolite
Core,Low,Sub-rounded,Phonolite
Core,Low,Sub-rounded,Phonolite
Unmodified,Low,Rounded,Phonolite
Unmodified,High,Rounded,Trachyte
Hammerstone,,,Trachyte
Hammerstone,Low,Rounded,Trachyte
Core,Low,Rounded,Phonolite
Unmodified,Low,Sub-rounded,Phonolite
Core,,,Basalt
Hammerstone,High,Sub-rounded,Trachyte
Core,,,Basalt
Core,,,Phonolite
Unmodified,Low,Rounded,Phonolite
Unmodified,Low,Subangular,Basalt
Hammerstone,High,Rounded,Phonolite
Unmodified,High,Well-rounded,Basalt
Hammerstone,High,Rounded,Phonolite
Hammerstone,High,Well-rounded,Trachyte
Unmodified,High,Sub-rounded,Basalt
Core,,,Phonolite
Core,,,Phonolite
Core,Low,Subangular,Basalt
Unmodified,Low,Subangular,Trachyte
Hammerstone,,,Phonolite
Unmodified,Low,Sub-rounded,Phonolite
Core,,,Basalt
Unmodified,Low,Rounded,Basalt
Core,,,Basalt
Hammerstone,Low,Subangular,Trachyte
Core,,,Phonolite
Core,,,Trachyte
Core,,,Trachyte
Hammerstone,,,Phonolite
Unmodified,High,Angular,Basalt
Hammerstone,High,Rounded,Phonolite
Core,,,Phonolite
Unmodified,Low,Rounded,Basalt
Hammerstone,High,Sub-rounded,Basalt
Hammerstone,Low,Sub-rounded,Trachyte
Unmodified,High,Sub-rounded,Phonolite
Unmodified,High,Subangular,Basalt
Unmodified,Low,Angular,Basalt
Core,,,Phonolite
Core,,,Basalt
Unmodified,,,Basalt
Unmodified,High,Sub-rounded,Basalt
Hammerstone,Low,Subangular,Basalt
Unmodified,Low,Sub-rounded,Phonolite
Unmodified,,,Basalt
Unmodified,,,Phonolite
Hammerstone,Low,Sub-rounded,Trachyte
Core,,,Phonolite
Hammerstone,High,Sub-rounded,Trachyte
Core,,,Basalt
Hammerstone,,,Basalt
Hammerstone,Low,Sub-rounded,Trachyte
Hammerstone,High,Sub-rounded,Basalt
Hammerstone,,,Phonolite
Unmodified,Low,Rounded,Phonolite
Unmodified,Low,Subangular,Basalt
Unmodified,High,Rounded,Basalt
Unmodified,Low,Rounded,Phonolite
Hammerstone,High,Well-rounded,Trachyte
Core,,,Phonolite
Hammerstone,High,Well-rounded,Basalt
Core,,,Trachyte
Unmodified,High,Well-rounded,Basalt
Unmodified,High,Rounded,Basalt
Unmodified,High,Rounded,Basalt
Unmodified,High,Subangular,Basalt
Unmodified,High,Angular,Basalt
Unmodified,Low,Sub-rounded,Basalt
Core,,,Phonolite
Hammerstone,High,Well-rounded,Basalt
Unmodified,High,Rounded,Basalt
Core,,,Phonolite
Hammerstone,,,Trachyte
Hammerstone,,,Phonolite
Hammerstone,,,Phonolite
Core,,,Basalt
Hammerstone,Low,Subangular,Basalt
Hammerstone,Low,Sub-rounded,Phonolite
Hammerstone,Low,Rounded,Trachyte
Hammerstone,High,Well-rounded,Basalt
Unmodified,High,Sub-rounded,Phonolite
Unmodified,High,Rounded,Basalt
Hammerstone,Low,Rounded,Phonolite
Hammerstone,High,Subangular,Phonolite
Unmodified,Low,Rounded,Basalt
Unmodified,Low,Well-rounded,Basalt
Core,,,Phonolite
Unmodified,Low,Sub-rounded,Basalt
Hammerstone,High,Rounded,Phonolite
Core,,,Phonolite
Hammerstone,High,Rounded,Basalt
Unmodified,High,Subangular,Basalt
Unmodified,Low,Rounded,Phonolite
Unmodified,Low,Sub-rounded,Basalt
Core,,,Phonolite
Core,,,Trachyte
Core,,,Phonolite
Unmodified,High,Rounded,Phonolite
Hammerstone,High,Well-rounded,Phonolite
Unmodified,High,Rounded,Basalt
Unmodified,High,Sub-rounded,Basalt
Unmodified,High,Rounded,Phonolite
Unmodified,Low,Sub-rounded,Basalt
Unmodified,High,Sub-rounded,Phonolite
Unmodified,Low,Subangular,Basalt
Unmodified,High,Sub-rounded,Phonolite
Hammerstone,Low,Rounded,Phonolite
Hammerstone,Low,Sub-rounded,Phonolite
Core,,,Phonolite
Unmodified,High,Subangular,Basalt
Unmodified,Low,Sub-rounded,Basalt
Core,,,Trachyte
Unmodified,Low,Sub-rounded,Phonolite
Core,,,Phonolite
Hammerstone,High,Rounded,Basalt
Unmodified,High,Well-rounded,Phonolite
Unmodified,Low,Sub-rounded,Basalt
Core,,,Basalt
Hammerstone,Low,Well-rounded,Basalt
Core,,,Basalt
Hammerstone,High,Sub-rounded,Phonolite
Core,,,Basalt
Unmodified,,,Basalt
Hammerstone,Low,Rounded,Phonolite
Unmodified,High,Subangular,Basalt
Core,Low,Subangular,Basalt
Core,,,Phonolite
Core,,,Basalt
Core,,,Phonolite
Hammerstone,Low,Sub-rounded,Trachyte
Hammerstone,,,Phonolite
Unmodified,High,Sub-rounded,Basalt
Core,,,Basalt
Unmodified,Low,Subangular,Basalt
Unmodified,Low,Subangular,Basalt
Hammerstone,Low,Rounded,Phonolite
Core,,,Phonolite
Hammerstone,,,Basalt
Core,,,Trachyte
Hammerstone,High,Rounded,Trachyte
Hammerstone,Low,Rounded,Trachyte
Core,High,Rounded,Phonolite
Core,Low,Subangular,Trachyte
Core,,,Phonolite
Unmodified,High,Angular,Basalt
Core,,,Basalt
Core,,,Phonolite
Unmodified,Low,Sub-rounded,Phonolite
Unmodified,High,Sub-rounded,Phonolite
Unmodified,High,Sub-rounded,Phonolite
Unmodified,High,Sub-rounded,Phonolite
Core,,,Phonolite
Unmodified,Low,Subangular,Phonolite
