modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11
sphericity_High,0.3545559289524575,0.09637949457230781,0.04455463980593477,0.06680227402324397,0.08528046337026203,0.1574148321226302,0.07349873861419934,0.12151362853896444,9.111606018991221e-35,6.891301920395229e-35,7.184320129142251e-33
sphericity_Low,0.3545559289524574,0.09637949457230789,0.04455463980593467,0.06680227402324403,0.08528046337026224,0.15741483212263013,0.07349873861419927,0.12151362853896427,9.111606018991142e-35,6.891301920395247e-35,7.184320129142258e-33
angularity_Angular,0.04112428067729927,0.2120713893201912,0.025320886470085555,0.39045774977894876,0.23384140889166616,0.003729769521439335,0.05052605123028187,0.04292846411008779,4.7990217883770774e-35,1.8569933497651946e-33,1.103611297224289e-36
angularity_Rounded,0.1756466936079314,0.25200554811219,0.07095256216704486,0.26418020178358986,0.0010526244100986777,0.007165505628888537,0.032938959574442025,0.19605790471581458,3.515562472880883e-34,1.36035559343264e-32,8.084594386642968e-36
angularity_Sub-rounded,0.11300305950115647,0.01915249333843469,0.3225900681121474,0.22709284823172163,0.0012429971419233108,0.16475076937871772,0.0735627979224016,0.07860496637349712,4.92531183543963e-34,1.9058615958116434e-32,1.1326536997828177e-35
angularity_Subangular,0.1840312639870416,0.2020243323774208,0.005628930442701434,0.12527994280422516,0.0029003086351310353,0.4720265105538396,0.004266845414530648,0.0038418657851098732,6.10045142590315e-35,2.3605847666506645e-33,1.402895716810561e-36
angularity_Well-rounded,0.08730984794691048,0.046842784118757995,0.41298438258863085,0.03692831682103576,0.10019246417739694,0.014308947534621112,0.3013265243304155,0.00010673248223126315,1.0283618117951069e-34,3.979271463782554e-33,2.3648813511948677e-36
raw material_Basalt,0.05950850964156771,0.21335381928246108,0.33375046955703624,0.0015146967044879728,0.003055150509771817,0.09403775222358507,0.26421722637754225,0.03056237570354798,1.3618343472108798e-31,9.753781662328903e-35,4.250586743307471e-36
raw material_Lava Indet,0.07324407153296238,0.22498446517516751,0.05424255626324598,0.13532768890618457,0.4233475533825893,0.06262161174216775,0.020967065260955937,0.005264987736726662,1.700268804484457e-32,1.217772978055306e-35,5.306915672381611e-37
raw material_Phonolite,0.3015533614371629,0.21328769293786723,0.08680953366289464,0.017924926629698447,0.04468231206701505,0.0002893808897499306,0.18517725711412653,0.15027553526148524,3.4112311234625153e-32,2.443204905658206e-35,1.0647208172891163e-36
raw material_Trachyte,0.30849624941030485,0.03371717041034401,0.2952702411523355,0.006898101551864988,0.09341626150184887,0.026574388709129322,0.01303054865342861,0.2225970386107439,6.431451564789012e-32,4.6063586561223565e-35,2.0073985369443324e-36
