modality,Dim1,Dim2,Dim3,Dim4,Dim5,Dim6,Dim7,Dim8,Dim9,Dim10,Dim11,Dim12,Dim13
sphericity_High,0.2606205332921359,0.2914189002685816,0.038034040292610954,0.021439694685351375,0.03059106617509622,0.04899404565028722,0.14292713171788343,0.00010412549199589755,0.16338011305292224,0.0024903493731350933,3.8434987353154264e-32,2.578644045310644e-32,1.0946143896669694e-33
sphericity_Low,0.2466911669108405,0.33364220357281815,0.036782760273650975,0.0688555912360499,0.010368813214021614,0.02089440787361912,0.12494354211706596,0.021601398296496148,0.1333499262044888,0.0028701903009487077,3.6745357093924814e-32,2.4652849600921267e-32,1.0464943375390602e-33
sphericity_S.Def,0.9410075793352125,0.0010193674315559704,2.1717356733557217e-05,0.012114364174792032,0.005109751046723822,0.005688562300968571,0.0007074125717274924,0.02274920421290943,0.0016535053140605636,0.009928536255316013,4.7662967999716013e-32,3.197759049196416e-32,1.357423905134807e-33
angularity_Angular,0.023518718453116965,0.005990305514821102,0.2546536333391703,0.018760897986781256,0.40368640191945454,0.24407463450316313,0.009818779946418095,0.008233047040560668,0.031023253384724343,0.00024032791178955922,1.620303064221102e-33,7.4541742526926405e-34,1.1928327440777344e-33
angularity_Rounded,0.13439328945141754,0.05953930056726644,0.3314150864279036,0.006844926909812964,0.24028433246575026,0.026112845594678524,0.045081069345952275,0.00041447178038523486,0.1544000912840511,0.0015145861727820994,1.0270152654011164e-32,4.7247647168743675e-33,7.56066852115123e-33
angularity_S.Def,0.9316397741427517,0.0014723381187832858,4.464206418657003e-06,0.01660159535274973,0.00475296538560415,0.004205685079231235,0.0004653886527555017,0.030650184660830766,0.0004005903264059212,0.009807014074469014,2.4437461449053253e-32,1.12424089022055e-32,1.7990340722203575e-32
angularity_Sub-rounded,0.17250871884347566,0.07508915399556931,0.020667888682759875,0.4410567280210478,0.05026941995516983,0.04737615465991291,0.10446218726700421,0.01794472499452106,0.06856858587057786,0.00205643770996139,1.3541104179562038e-32,6.22955991117886e-33,9.968673646935361e-33
angularity_Subangular,0.028314529261777684,0.3019675513635735,0.10083357530037178,0.0005728549650971438,0.12103244431017499,0.017422873139529498,0.3992210948250087,0.0005526918669296112,0.02976802484789908,0.00031436011963778917,2.0460459611975504e-33,9.4127965690889e-34,1.5062556334655028e-33
angularity_Well-rounded,0.07698188371140062,0.056822616116041974,0.00010317957494876153,0.40984957163131597,0.18344712665262147,0.00026830633356865637,0.03676615412902927,0.23132269235219777,0.0039607000089675,0.0004777694899078339,3.3770527022713375e-33,1.553606844245412e-33,2.486114561340964e-33
raw material_Basalt,0.1340290350603684,0.09856164158492739,0.010667572249627017,0.2975915802723489,0.0018864769904698817,0.024954010467897036,0.061623951675855576,0.34859895030213084,0.02207710333503765,9.678061337412228e-06,9.626128750808898e-32,6.042998155525578e-33,8.949875787340361e-33
raw material_Lava Indet,0.04913900192237234,0.11889212025833601,0.1889640261568287,0.030494623000651797,0.07413312469360958,0.48959446042487836,0.009429004543671456,0.026503269913930063,0.012849953576178397,4.155095432265724e-07,1.1518444659087548e-32,7.230937963876763e-34,1.0709253078868794e-33
raw material_Phonolite,0.14431547286250146,0.13424518601872046,0.18300868681335747,0.06219180729117064,0.019019771835500077,0.0001377577271334969,0.010729501852133826,0.28502047102000133,0.16132994774316878,1.3968363124212199e-06,5.063052597401121e-32,3.178434269835932e-33,4.707363990711548e-33
raw material_Trachyte,0.02320727074373612,0.23133527367683698,0.2750785251009593,0.06040389797100332,0.004334231870713321,0.05100352999981815,0.09201789546817454,0.04527763673464974,0.21733844342781486,3.295006293663879e-06,7.119650300345463e-32,4.4695053169073116e-33,6.619481983558334e-33
