category,sphericity,angularity,raw material
Unmodified,Low,Rounded,Phonolite
Core,,,Phonolite
Core,,,Phonolite
Hammerstone,High,Angular,Basalt
Hammerstone,High,Rounded,Phonolite
Core,,,Trachyte
Hammerstone,High,Subangular,Trachyte
Unmodified,High,Sub-rounded,Trachyte
Unmodified,Low,Sub-rounded,Basalt
Unmodified,Low,Rounded,Basalt
Hammerstone,Low,Sub-rounded,Trachyte
Hammerstone,Low,Sub-rounded,Phonolite
Core,,,Trachyte
Unmodified,Low,Sub-rounded,Basalt
Hammerstone,Low,Subangular,Basalt
Unmodified,High,Well-rounded,Basalt
Core,,,Basalt
Core,,,Trachyte
Core,,,Trachyte
Unmodified,Low,Subangular,Basalt
Unmodified,Low,Sub-rounded,Trachyte
Unmodified,High,Rounded,Lava Indet
Hammerstone,High,Rounded,Trachyte
Hammerstone,High,Sub-rounded,Trachyte
Core,,,Basalt
Hammerstone,Low,Rounded,Trachyte
Unmodified,Low,Sub-rounded,Basalt
Core,,,Trachyte
Unmodified,Low,Rounded,Trachyte
Core,,,Trachyte
Unmodified,High,Sub-rounded,Lava Indet
Unmodified,Low,Subangular,Phonolite
Core,,,Trachyte
Hammerstone,Low,Well-rounded,Trachyte
Hammerstone,Low,Rounded,Basalt
Hammerstone,High,Rounded,Phonolite
Unmodified,High,Sub-rounded,Trachyte
Core,,,Trachyte
Core,,,Trachyte
Unmodified,Low,Rounded,Basalt
Core,,,Basalt
Core,,,Phonolite
Core,,,Basalt
Unmodified,High,Rounded,Basalt
Core,,,Phonolite
Core,,,Phonolite
Hammerstone,High,Well-rounded,Trachyte
Hammerstone,High,Sub-rounded,Trachyte
Core,,,Basalt
Core,,,Trachyte
Unmodified,Low,Well-rounded,Basalt
Core,,,Phonolite
Core,,,Phonolite
Core,,,Trachyte
Unmodified,High,Sub-rounded,Basalt
Core,,,Basalt
Hammerstone,Low,Rounded,Basalt
Hammerstone,Low,Sub-rounded,Phonolite
Hammerstone,High,Sub-rounded,Trachyte
Unmodified,High,Sub-rounded,Basalt
Hammerstone,High,Well-rounded,Basalt
Unmodified,High,Angular,Trachyte
Unmodified,Low,Sub-rounded,Phonolite
Unmodified,High,Rounded,Basalt
Unmodified,High,Sub-rounded,Trachyte
Unmodified,High,Rounded,Basalt
Unmodified,High,Sub-rounded,Basalt
Core,Low,Rounded,Basalt
Core,,,Basalt
Core,,,Lava Indet
Unmodified,High,Well-rounded,Basalt
Core,,,Phonolite
Unmodified,Low,Sub-rounded,Basalt
Hammerstone,High,,Basalt
Core,,,Phonolite
Core,,,Phonolite
Core,,,Trachyte
Core,,,Trachyte
Unmodified,Low,Subangular,Basalt
Core,,,Basalt
Hammerstone,Low,Sub-rounded,Phonolite
Unmodified,Low,Rounded,Lava Indet
Core,,,Phonolite
Hammerstone,High,Well-rounded,Lava Indet
Hammerstone,Low,Sub-rounded,Trachyte
Core,,,Phonolite
Unmodified,Low,Sub-rounded,Basalt
Core,,,Phonolite
Unmodified,High,Rounded,Basalt
Unmodified,High,Sub-rounded,Trachyte
Hammerstone,Low,Well-rounded,Basalt
Hammerstone,Low,Angular,Trachyte
Unmodified,High,Rounded,Phonolite
Unmodified,High,Sub-rounded,Basalt
Core,,,Basalt
Unmodified,Low,Sub-rounded,Lava Indet
Core,,,Trachyte
Core,,,Phonolite
Hammerstone,High,Sub-rounded,Lava Indet
Unmodified,Low,Angular,Basalt
Hammerstone,High,Rounded,Basalt
Hammerstone,Low,Rounded,Phonolite
Unmodified,High,Rounded,Phonolite
